"T.P.College,madhepura S.O",852113,S.O,Non-Delivery,Saharsa,BhagalPur,Bihar,Madhepura,Madhepura,BIHAR
"B.,mahanand B.O",843109,B.O,Delivery,Muzaffarpur,Muzaffarpur,Bihar,Kanti,Muzaffarpur,BIHAR
"District Court Sector-43, Chandigar",160043,S.O,Delivery,Chandigarh,Chandigarh HQ,Punjab,NA,Chandigarh,CHANDIGARH
"Katalpali ""d"" B.O",496113,B.O,Delivery,Raigarh,Raipur,Chattisgarh,Raigarh,Raigarh,CHATTISGARH
"Distt. Court Complex, Saket S.O",110017,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,NA,South Delhi,DELHI
"Distt. Court Complex, Dwarka S.O",110078,S.O,Non-Delivery,New Delhi West,Delhi,Delhi,NA,West Delhi,DELHI
"Nand Nagri ""C"" S.O",110093,S.O,Delivery,Delhi East,Delhi,Delhi,NA,East Delhi,DELHI
"Nand Nagri ""A"" S.O",110093,S.O,Non-Delivery,Delhi East,Delhi,Delhi,NA,East Delhi,DELHI
"Model Town, Sonipat S.O",131001,S.O,Non-Delivery,Sonepat,Ambala  HQ,Haryana,Sonipat,Sonipat,HARYANA
"Main Bazar, Bahadurgarh  S.O",124507,S.O,Non-Delivery,Rohtak,Ambala  HQ,Haryana,Bahadurgarh,Jhajjar,HARYANA
"Mini. Sectt,hisar S.O",125001,S.O,Non-Delivery,Hissar,Ambala  HQ,Haryana,Hisar,Hisar,HARYANA
Kaima B.O,832101,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Gurabanda B.O,832302,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Chirudih B.O,832105,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
Pipla B.O,831012,B.O,Delivery,Singhbhum,Ranchi,Jharkhand,"Dhalbhum, Jamshedpur",East Singhbhum,JHARKHAND
